PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40110655,Role of Assemblysomes in Cellular Stress Responses.,2025 Mar-Apr,N/A,N/A,
40110648,"DB-1310, a HER3-targeting antibody-drug conjugate, has synergistic anti-tumor activity with trastuzumab in HER2- and HER3-expressing breast cancer.",2025 Mar 19,N/A,N/A,
40110613,Low frequency of structured documentation for cancer genetic testing in a large electronic health record dataset: A brief report using All of Us Research data.,2025 Apr,N/A,N/A,
40110606,Environmental health disparities in pediatric cancer: a report from the Fourth Symposium on Childhood Cancer Health Disparities.,2025 Mar 20,N/A,N/A,
40110599,Tumor suppressor genes in the tumor microenvironment.,2025 Mar 1,N/A,N/A,
40110575,Adapting historical clinical genetic test records for anonymised data linkage: obstacles and opportunities.,2023,N/A,N/A,
40110574,Identification of Novel Gene Signature Predicting Lymph Node Metastasis in Papillary Thyroid Cancer via Bioinformatics Analysis and in vitro Validation.,2025,N/A,N/A,
40110547,Aspartate beta-hydroxylase is a prognostic factor in gallbladder cancer with the function of promoting tumorigenesis and chemoresistance.,2025,N/A,N/A,
40110524,Sequential metabolic probes illuminate nuclear DNA for discrimination of cancerous and normal cells.,2025 Mar 11,N/A,N/A,
40110491,Landscape of chimeric RNAs in COVID-19 patient blood.,2025 May,N/A,N/A,
40110469,Ultrasound in endometrial cancer: evaluating the impact of pre-surgical staging.,2025,N/A,N/A,
40110373,Comparison of Gut Microbiota in Two Different Maternal Exposure Models of Autism Spectrum Disorder in Mice.,2025 Feb,N/A,N/A,
40110364,When cancer reaches the heart: a case series on rare myocardial and endocardial metastases from squamous cell carcinoma.,2025,N/A,N/A,
40110362,Mepitel® film versus standard care for the prevention of skin toxicity in breast cancer patients treated with adjuvant radiotherapy: A randomized controlled trial.,2025 May,N/A,N/A,
40110345,Application of CRISPR-Cas System in Human Papillomavirus Detection Using Biosensor Devices and Point-of-Care Technologies.,2025,N/A,N/A,
40110327,Primary spinal extradural hydatid cyst: a rare cause of compressive neuropathy in a pediatric patient.,2025 Feb,N/A,N/A,
40110303,Prescription of pregabalin for prevention of acute post-mastectomy pain syndrome (APMPS): a systematic review and meta-analysis of randomized controlled trials.,2025 Feb,N/A,N/A,
40110296,Successfully treated esophageal gastrointestinal stromal tumor by minimally invasive esophagectomy followed by imatinib therapy: a case report.,2025 Feb,N/A,N/A,
40110261,Serum metabolic profiling analysis of chronic gastritis and gastric cancer by untargeted metabolomics.,2025 Feb,N/A,N/A,
40110256,Detecting ectopic thymus in thymoma-associated myasthenia gravis through flow cytometry analysis of CD3(medium)TCRvβ(medium)CD4(+)CD8(+) T cells and its clinical significance.,2025 Feb,N/A,N/A,
