PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40113588,"The Chicken Embryo: An Alternative Animal Model in Development, Disease and Pharmacological Treatment.",2025 Apr,N/A,N/A,
40113567,[Multi-center retrospective study of transoral robotic surgery for supraglottic laryngeal cancer].,2025 Mar 20,N/A,N/A,
40113566,[Multicenter study on the efficacy of transoral robotic surgery for malignant tongue base tumors].,2025 Mar 20,N/A,N/A,
40113565,[Transoral robotic surgery of tonsillar squamous cell carcinoma: analysis of 157 cases from five medical centers].,2025 Mar 20,N/A,N/A,
40113545,Hematological Response to Frontline Treatment in Lower Risk Myelodysplastic Syndromes (LRMDS) is Associated With Better Overall Survival.,2025 Feb 23,N/A,N/A,
40113544,Plasma Cytokine and Chemokine Profiles Predict Efficacy and Toxicity of Anti-CD19 CAR-T Cell Therapy in Large B-Cell Lymphoma.,2025 Feb 20,N/A,N/A,
40113537,Foxp3(+)CD8(+) regulatory T cells: bona fide Tregs with cytotoxic function.,2025 Mar 19,N/A,N/A,
40113513,Completion Rates for Patients Undergoing Concurrent Chemoradiotherapy for Stage III Nonsmall Cell Lung Cancer and its Importance in the Era of Consolidation Immunotherapy: A Cohort Study.,2025 Feb 21,N/A,N/A,
40113474,Survival in Responders and Nonresponders of Neoadjuvant and Induction Chemotherapy in Invasive Urothelial Carcinoma of the Urinary Bladder: A Clinical and Pathological Stage-Matched Analysis.,2025 Feb 21,N/A,N/A,
40113429,[Evolution of grading for solitary fibrous tumors of the central nervous system: a clinical pathological and prognostic analysis].,2025 Mar 23,N/A,N/A,
40113428,[Clinicopathological features of primary pulmonary epithelioid hemangioendothelioma: a study of 7 cases].,2025 Mar 23,N/A,N/A,
40113427,[Comparison of clinical outcomes between Ivor-Lewis and Mckeown esophagectomy for middle or lower esophageal cancer].,2025 Mar 23,N/A,N/A,
40113426,[The application of ANXA2 gene knockout mouse models in lung cancer metastasis].,2025 Mar 23,N/A,N/A,
40113423,"[Cancer incidence, mortality and trends among elderly in Hebei province, 2011-2020].",2025 Mar 23,N/A,N/A,
40113422,[The expert consensus on the diagnosis and treatment of skull base and head-neck sarcomas (2024 edition)].,2025 Mar 23,N/A,N/A,
40113421,"[Guidelines for diagnosis, treatment management pathways, and quality control of ovarian cancer in county-level regions (2025 edition)].",2025 Mar 23,N/A,N/A,
40113395,"[Cost and cost-effectiveness of the colorectal cancer screening program for key populations in Zhejiang Province, 2020-2022].",2025 Mar 10,N/A,N/A,
40113342,Interferon regulatory factor 5 suppresses epithelial-to-mesenchymal transition and metastasis by inducing GATA2 expression in colorectal cancer.,2025 Mar,N/A,N/A,
40113244,Diagnostic efficacy of an extracellular vesicle-derived lncRNA-based liquid biopsy signature for the early detection of early-onset gastric cancer.,2025 Mar 20,N/A,N/A,
40113222,Dansylated Amino Acid-Modified Long-Acting PSMA Derivatives (68)Ga/(177)Lu-LNC1011 as Prostate Cancer Theranostics.,2025 Mar 20,N/A,N/A,
